,steel,carbon,hardness,condition,formability,strength,surface_quality,shape,thick,width,len,bore,target
109,A,0,0,S,2,0,E,SHEET,0.7,609.9,762,0,3
110,A,0,0,S,2,0,G,COIL,0.7,1320.0,0,0,3
111,A,0,70,,,0,G,COIL,0.8,50.0,0,0,3
112,A,0,0,,3,0,F,SHEET,0.6,1220.0,761,0,5
113,R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
114,R,0,0,,,500,E,SHEET,1.0,1100.0,762,0,3
115,M,0,0,,,600,G,COIL,1.6,1090.0,0,0,2
116,A,0,85,,,0,G,COIL,3.2,610.0,0,0,U
117,A,0,45,S,,0,D,SHEET,0.599,520.0,4880,0,3
118,R,0,0,A,2,0,G,COIL,0.25,20.0,0,0,3
120,R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
121,A,0,0,S,2,0,G,SHEET,0.7,1300.0,4880,0,3
122,A,0,45,S,,0,D,COIL,0.699,1320.0,0,0,3
123,A,4,0,,,0,G,COIL,1.0,1130.0,0,0,3
124,A,0,50,,,0,G,COIL,0.451,1320.0,0,0,3
125,A,0,0,,3,0,E,COIL,1.6,1220.0,0,0,5
126,W,0,0,,,310,G,COIL,1.599,1275.0,0,0,3
127,A,0,0,,3,0,E,SHEET,1.6,610.0,4880,0,5
128,R,0,0,S,3,0,E,COIL,1.599,610.0,0,0,2
129,R,0,0,S,2,0,E,SHEET,2.0,610.0,4170,0,2
130,R,0,0,S,2,0,E,COIL,1.2,1220.0,0,0,3
131,K,45,0,,,0,E,COIL,1.09,610.0,0,0,3
132,R,0,0,S,2,0,E,SHEET,1.599,1300.0,762,0,2
133,V,0,0,S,2,0,E,COIL,1.201,1525.0,0,0,2
134,K,55,0,,,0,E,COIL,1.1,900.0,0,0,3
135,R,0,0,S,3,0,E,SHEET,2.0,1525.0,612,0,2
136,A,0,0,S,2,0,E,COIL,3.5,610.0,0,600,3
137,A,0,50,,,0,G,COIL,0.6,610.0,0,0,3
138,A,0,0,,3,0,E,COIL,1.6,610.0,0,0,5
139,W,0,0,,,310,G,SHEET,2.5,610.0,4880,0,3
140,A,0,60,,,0,G,COIL,0.6,50.0,0,0,3
141,A,0,45,S,,0,D,SHEET,0.699,1320.0,760,0,3
142,R,0,0,A,3,0,G,COIL,0.4,58.0,0,0,3
143,R,0,0,S,2,0,E,COIL,3.2,609.9,0,0,3
144,A,0,0,A,2,0,G,COIL,0.7,1320.0,0,0,3
145,A,0,50,,,0,E,COIL,1.6,1250.0,0,0,3
146,R,0,0,S,3,0,E,SHEET,1.601,830.0,881,0,2
147,M,0,0,,,350,G,COIL,0.9,1320.0,0,0,3
148,V,0,0,S,2,0,E,COIL,2.0,1525.0,0,0,2
149,A,0,0,S,2,0,F,SHEET,0.699,520.0,762,0,3
150,A,0,60,,,0,G,COIL,0.8,710.1,0,0,3
151,A,0,50,,,0,E,COIL,0.6,610.0,0,0,3
152,R,0,0,,,500,E,COIL,1.6,1320.0,0,0,3
153,R,0,0,S,3,0,E,SHEET,0.6,610.0,4880,0,3
154,A,0,0,S,2,0,E,SHEET,1.6,1320.0,1000,0,3
155,A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
156,A,0,45,S,,0,D,COIL,0.699,1320.0,0,0,3
157,A,0,85,,,0,G,COIL,3.201,1000.0,0,600,U
158,A,0,0,,3,0,F,SHEET,0.6,1220.0,4880,0,5
159,A,0,0,S,3,0,E,COIL,1.0,75.0,0,0,3
160,A,0,0,A,1,0,E,COIL,1.6,1220.0,0,0,5
161,A,0,0,S,2,0,E,COIL,3.2,609.9,0,0,3
162,R,0,0,S,2,0,E,COIL,0.7,1320.0,0,0,3
163,A,0,70,,,0,G,COIL,2.5,609.9,0,0,3
164,A,0,0,S,2,0,F,SHEET,0.699,609.9,0,0,3
165,R,0,0,S,2,0,E,SHEET,3.2,610.0,1000,0,3
166,R,0,0,S,2,0,E,COIL,0.9,966.1,0,0,3
167,A,0,0,S,3,0,E,COIL,1.001,610.0,0,0,3
168,R,0,0,S,3,0,E,SHEET,0.601,375.0,612,0,3
169,A,0,0,,3,0,E,COIL,0.8,50.0,0,0,5
170,K,45,0,,,0,G,COIL,0.6,610.0,0,0,3
171,A,0,0,S,2,0,E,COIL,3.2,1320.0,0,0,3
172,A,0,0,,3,0,F,SHEET,0.6,610.0,4880,0,5
173,A,0,0,S,2,0,F,SHEET,0.999,1220.0,762,0,3
174,R,0,0,S,2,0,E,COIL,1.6,50.0,0,0,2
175,A,0,0,S,2,0,G,SHEET,1.2,335.0,4170,0,3
176,A,0,0,S,5,0,E,SHEET,1.2,1250.0,4880,0,3
177,W,0,0,,,310,G,COIL,2.5,1274.9,0,600,3
178,R,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
179,V,0,0,S,2,0,E,SHEET,0.8,1320.0,1,0,2
180,A,0,85,,,0,G,COIL,3.2,609.9,0,0,U
181,A,0,0,,3,0,E,COIL,1.6,50.0,0,0,5
182,A,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
183,A,0,0,S,2,0,E,SHEET,1.599,1300.0,4880,0,3
184,A,0,0,S,2,0,E,SHEET,0.7,610.0,4880,0,3
185,A,0,0,S,3,0,E,COIL,0.6,1320.0,0,0,3
186,A,0,0,A,2,0,G,SHEET,0.301,610.0,4880,0,3
187,A,0,0,S,2,0,F,SHEET,0.6,1220.0,762,0,3
189,A,0,85,,,0,G,COIL,4.0,1000.0,0,600,U
190,K,65,0,,,0,E,COIL,1.5,640.0,0,0,3
191,A,0,0,,3,0,E,SHEET,1.2,335.0,612,0,5
192,A,0,0,S,2,0,F,SHEET,0.6,520.0,4880,0,3
193,A,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
194,R,0,0,S,2,0,E,COIL,3.2,1320.0,0,0,3
195,A,0,0,S,2,0,G,COIL,0.4,20.0,0,0,3
196,A,0,0,S,2,0,E,SHEET,0.3,610.0,4880,0,3
197,A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
198,A,0,0,S,2,0,F,SHEET,0.699,520.0,4880,0,3
199,A,0,45,S,,0,D,SHEET,0.3,610.0,762,0,3
200,R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
201,R,0,0,S,2,0,E,SHEET,3.2,610.0,762,0,3
202,A,0,50,,,0,E,COIL,0.6,1250.0,0,0,3
203,A,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
204,A,0,0,S,2,0,E,SHEET,0.3,1320.0,762,0,3
205,R,0,0,S,2,0,E,SHEET,0.699,610.0,762,0,3
206,R,0,0,S,2,0,E,COIL,0.901,966.1,0,0,3
207,R,0,0,S,2,0,E,SHEET,0.3,595.0,4880,0,3
208,A,0,0,S,2,0,F,SHEET,0.6,1220.0,4880,0,3
209,A,0,0,S,2,0,F,SHEET,0.699,609.9,4880,0,3
210,S,70,0,,,0,E,SHEET,2.0,1000.0,4880,0,3
211,A,0,0,S,3,0,E,SHEET,1.0,610.0,4880,0,3
212,A,0,0,S,1,0,G,COIL,3.2,60.0,0,0,3
213,K,55,0,,,0,G,COIL,1.0,900.0,0,0,3
214,A,0,45,S,,0,D,COIL,0.7,1320.0,0,0,3
215,R,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
216,A,0,45,S,,0,D,SHEET,1.6,610.0,762,0,3
217,K,55,0,,,0,G,COIL,2.3,900.0,0,500,3
218,R,0,0,S,2,0,E,SHEET,0.8,1300.0,762,0,2
219,A,0,0,A,2,0,G,SHEET,0.301,1320.0,4880,0,3
220,A,0,50,,,0,G,COIL,0.601,610.0,0,0,3
221,R,0,0,S,2,0,E,SHEET,3.2,1320.0,762,0,3
222,M,0,0,,,600,G,COIL,1.3,1090.0,0,0,2
223,A,0,0,S,2,0,F,SHEET,0.699,520.0,4880,0,3
224,M,0,0,,,600,G,SHEET,0.9,610.0,1220,0,2
225,R,0,0,S,2,0,E,SHEET,3.2,1300.0,762,0,3
226,M,0,0,,,350,G,COIL,1.399,609.9,0,0,3
227,R,0,0,S,3,0,E,SHEET,1.599,610.0,761,0,2
228,A,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
229,R,0,0,S,2,0,E,COIL,0.7,1220.0,0,0,3
230,R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
231,A,0,45,S,,0,D,SHEET,0.599,610.0,761,0,3
232,A,0,0,S,2,0,F,SHEET,0.699,610.0,400,0,3
233,A,0,45,S,,0,D,SHEET,1.6,1320.0,612,0,3
234,A,0,0,A,1,0,F,SHEET,0.5,609.9,612,0,5
235,A,0,45,S,,0,D,COIL,0.301,1320.0,0,0,3
236,K,65,0,,,0,E,COIL,3.2,640.0,0,500,3
237,A,0,0,S,3,0,F,SHEET,0.6,610.0,762,0,3
238,A,0,0,,3,0,E,COIL,0.6,249.9,0,0,5
239,R,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
240,R,0,0,S,2,0,E,SHEET,3.2,1300.0,762,0,3
241,A,0,0,S,2,0,E,SHEET,1.599,1320.0,762,0,3
242,A,0,0,S,2,0,E,COIL,0.8,609.9,0,0,3
243,A,0,60,,,0,G,COIL,1.9,1135.0,0,600,3
244,V,0,0,S,2,0,G,COIL,0.699,609.9,0,0,3
245,A,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
246,R,0,0,S,3,0,E,SHEET,0.8,1320.0,762,0,2
247,R,0,0,S,2,0,E,COIL,0.901,966.0,0,0,3
248,A,0,0,S,2,0,G,SHEET,0.7,610.0,762,0,3
249,A,0,0,S,5,0,E,COIL,0.8,75.0,0,0,3
250,R,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
251,A,0,50,,,0,E,SHEET,0.601,1250.0,762,0,3
252,A,0,60,,,0,G,COIL,0.799,609.0,0,0,3
253,R,6,0,,,0,E,SHEET,1.0,610.0,4880,0,3
254,A,0,50,,,0,E,COIL,0.6,20.0,0,0,3
255,K,45,0,,,0,G,COIL,0.6,900.0,0,0,3
256,R,6,0,,,0,E,SHEET,1.0,610.0,762,0,3
257,A,0,0,A,1,0,E,COIL,0.5,250.0,0,0,5
258,A,0,0,,3,0,E,COIL,0.6,50.0,0,0,5
259,W,0,0,,,310,G,SHEET,2.5,1274.9,762,0,3
260,A,0,60,,,0,G,SHEET,0.801,255.1,270,0,3
261,R,0,0,S,2,0,E,SHEET,1.6,1500.0,4170,0,2
262,R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
263,A,0,0,S,3,0,E,COIL,0.6,20.0,0,0,3
264,A,0,0,S,2,0,G,COIL,0.7,1320.0,0,0,3
265,A,0,0,A,1,0,E,COIL,1.6,610.0,0,0,5
266,A,0,0,S,2,0,F,SHEET,0.7,1220.0,4880,0,3
267,A,0,85,,,0,G,SHEET,0.3,1220.0,762,0,U
268,A,0,0,S,2,0,G,COIL,3.2,610.0,0,0,3
269,A,0,0,S,3,0,E,SHEET,0.601,610.0,762,0,3
270,R,0,0,S,2,0,E,COIL,0.321,610.0,0,0,3
271,A,0,0,S,3,0,E,COIL,0.601,1220.0,0,0,3
272,R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
273,R,0,0,S,2,0,E,SHEET,3.2,150.0,4880,0,3
274,A,0,0,S,2,0,F,SHEET,0.7,1220.0,762,0,3
275,A,0,0,A,1,0,E,COIL,0.6,250.0,0,0,5
276,A,0,85,,,0,G,COIL,3.2,1220.0,0,0,U
277,R,0,0,S,2,0,E,SHEET,0.8,1320.0,762,0,2
279,A,0,0,S,3,0,F,SHEET,1.2,610.0,4170,0,3
280,A,0,0,S,2,0,F,SHEET,0.699,1320.0,761,0,3
281,R,0,0,S,3,0,G,SHEET,0.8,1320.0,4880,0,2
282,R,0,0,S,2,0,E,SHEET,3.2,150.0,762,0,3
283,M,0,0,,,600,G,SHEET,1.299,1050.0,1220,0,2
284,R,0,0,S,2,0,E,SHEET,3.2,1300.0,4880,0,3
285,R,0,0,S,3,0,E,SHEET,0.6,375.0,4880,0,3
286,A,0,0,S,2,0,G,SHEET,0.7,610.0,762,0,3
287,R,6,0,,,0,E,COIL,1.2,1220.0,0,0,3
289,R,6,0,,,0,E,SHEET,1.0,1320.0,762,0,3
290,A,0,70,,,0,G,COIL,2.5,610.0,0,600,3
291,R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
292,R,0,0,S,3,0,E,SHEET,0.6,520.0,762,0,3
293,A,0,70,,,0,G,COIL,0.8,50.0,0,0,3
294,A,0,0,S,2,0,E,SHEET,0.3,1320.0,4880,0,3
295,A,0,0,S,2,0,G,COIL,0.7,610.0,0,0,3
296,A,0,0,,,500,G,SHEET,2.0,610.0,762,0,2
297,A,0,0,A,1,0,F,SHEET,0.5,609.9,3000,0,5
298,A,0,0,S,1,0,G,COIL,0.7,610.0,0,0,3
299,R,0,0,S,2,0,E,SHEET,1.0,610.0,4880,0,3
300,R,0,0,S,2,0,E,COIL,1.601,1320.0,0,0,3
301,R,0,0,S,2,0,E,SHEET,0.301,610.0,762,0,3
302,R,0,0,S,2,0,E,SHEET,1.2,609.9,612,0,2
303,R,0,0,S,2,0,E,SHEET,0.8,1500.0,4170,0,2
304,A,0,45,S,,0,D,SHEET,0.7,1300.0,762,0,3
305,R,0,0,S,2,0,E,COIL,1.201,50.0,0,0,3
306,A,0,0,S,3,0,F,SHEET,0.75,610.0,4880,0,3
307,R,0,0,S,2,0,E,SHEET,0.7,374.9,762,0,3
308,R,0,0,,,500,E,COIL,1.6,609.9,0,0,3
309,R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
310,K,65,0,,,0,E,COIL,1.09,900.0,0,0,3
311,R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
312,R,0,0,S,2,0,E,SHEET,0.7,150.0,762,0,3
313,K,55,0,,,0,E,COIL,2.2,900.0,0,0,3
314,V,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
315,A,4,0,,,0,G,COIL,1.0,25.0,0,0,3
316,R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
317,A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
318,R,0,0,S,2,0,E,SHEET,1.599,1320.0,4880,0,2
319,V,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
320,R,0,0,S,2,0,E,SHEET,3.2,1320.0,4880,0,3
321,R,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
322,A,0,50,,,0,G,COIL,0.601,610.0,0,0,3
323,A,0,0,,3,0,F,SHEET,0.6,610.0,761,0,5
324,R,0,0,S,2,0,E,COIL,3.2,610.0,0,0,3
325,K,65,0,,,0,E,COIL,2.3,900.0,0,600,3
326,A,0,0,S,2,0,F,SHEET,0.6,300.1,4880,0,3
327,A,0,0,S,2,0,F,SHEET,0.699,300.1,4880,0,3
328,R,0,0,S,2,0,E,COIL,4.0,610.0,0,600,3
329,R,0,0,S,2,0,E,SHEET,1.599,610.0,762,0,3
330,A,0,85,,,0,E,SHEET,0.4,1220.0,762,0,U
331,M,0,0,,,350,G,COIL,1.601,609.9,0,0,3
332,A,0,45,S,,0,D,SHEET,0.4,1220.0,300,0,3
333,R,0,0,S,3,0,E,COIL,1.6,1220.0,0,0,3
334,R,0,0,S,2,0,E,SHEET,0.7,1300.0,762,0,3
335,A,0,85,,,0,G,SHEET,0.3,1220.0,4880,0,U
336,A,0,0,,3,0,F,SHEET,1.6,1220.0,761,0,5
337,A,0,0,S,2,0,G,COIL,0.4,610.0,0,0,3
338,A,0,45,S,,0,D,SHEET,0.3,610.0,762,0,3
339,R,6,0,,,0,E,COIL,1.0,610.0,0,0,3
340,A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
342,A,0,0,S,3,0,E,COIL,2.5,1320.0,0,0,3
343,A,0,50,,,0,E,SHEET,1.6,1250.0,4880,0,3
344,A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
345,A,0,50,,,0,G,COIL,0.601,1320.0,0,0,3
346,A,0,0,S,2,0,E,SHEET,0.7,1320.1,762,0,3
347,R,0,0,S,2,0,E,COIL,3.201,385.1,0,0,3
348,R,0,0,S,2,0,E,SHEET,1.6,500.0,4880,0,3
349,A,0,0,A,2,0,G,SHEET,0.7,1320.0,4880,0,3
350,A,0,0,S,2,0,G,COIL,4.0,500.0,0,0,3
351,A,0,0,S,2,0,G,COIL,0.4,609.9,0,0,3
352,R,0,0,S,3,0,E,SHEET,1.6,610.0,4170,0,2
353,A,0,0,A,1,0,E,SHEET,1.6,610.0,762,0,5
354,A,0,45,S,,0,D,SHEET,1.6,1300.0,4880,0,3
355,R,0,0,S,2,0,E,COIL,3.2,50.0,0,0,3
356,A,0,80,,,0,G,COIL,0.5,29.0,0,0,3
357,A,0,0,S,1,0,G,SHEET,0.3,595.0,762,0,3
358,A,0,85,,,0,E,SHEET,1.2,1200.0,611,0,U
359,A,0,60,,,0,G,COIL,2.801,355.0,0,0,3
360,A,0,85,,,0,G,COIL,4.0,610.0,0,500,U
361,A,0,0,S,2,0,F,SHEET,0.699,609.9,0,0,3
362,K,65,0,,,0,E,COIL,1.5,900.0,0,0,3
363,R,0,0,S,2,0,E,COIL,4.0,1000.0,0,600,3
365,A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
366,A,0,85,,,0,G,COIL,3.201,610.0,0,600,U
367,A,0,0,S,3,0,F,SHEET,1.0,1320.0,762,0,3
368,R,0,0,S,2,0,E,COIL,0.4,1320.0,0,0,3
369,A,0,0,,3,0,E,SHEET,1.6,610.0,762,0,5
370,A,0,0,S,3,0,E,COIL,0.7,610.0,0,0,3
371,A,0,85,,,0,E,SHEET,0.4,1220.0,0,0,U
372,K,65,0,,,0,E,COIL,3.2,900.0,0,500,3
373,A,0,0,A,1,0,F,SHEET,0.5,609.9,612,0,5
374,R,0,0,S,2,0,E,SHEET,1.599,1500.0,612,0,2
375,R,0,0,S,2,0,G,SHEET,0.8,1320.0,4880,0,2
376,A,0,0,S,3,0,G,COIL,2.5,1320.0,0,0,3
377,A,0,0,S,3,0,E,COIL,0.8,900.1,0,0,3
378,R,0,0,S,2,0,E,COIL,4.0,385.1,0,0,3
379,A,0,0,S,1,0,G,SHEET,0.699,1300.0,762,0,3
380,A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
381,A,0,0,S,3,0,E,SHEET,0.7,375.0,612,0,3
382,A,0,0,S,1,0,G,SHEET,0.4,610.0,762,0,3
383,A,0,0,S,2,0,E,COIL,0.3,1320.0,0,0,3
384,R,0,0,S,2,0,E,COIL,3.2,610.0,0,0,3
385,A,0,85,,,0,G,COIL,1.201,1220.0,0,0,U
386,A,0,45,S,,0,D,SHEET,0.7,1320.0,762,0,3
387,R,0,0,S,2,0,E,COIL,0.8,610.0,0,0,2
388,A,0,45,S,,0,D,COIL,0.699,610.0,0,0,3
389,M,0,0,,,350,G,COIL,1.6,609.9,0,0,3
390,K,65,0,,,0,E,COIL,1.09,610.0,0,0,3
391,A,0,45,S,,0,D,SHEET,0.3,610.0,4880,0,3
392,A,0,0,S,3,0,E,SHEET,1.2,609.9,612,0,3
393,K,65,0,,,0,G,COIL,0.6,900.0,0,0,3
394,R,0,0,S,2,0,E,SHEET,2.0,1500.0,612,0,2
395,V,0,0,S,2,0,G,COIL,0.8,20.0,0,0,2
396,K,45,0,,,0,G,COIL,0.6,900.0,0,0,3
397,A,0,0,S,2,0,F,SHEET,0.999,1220.0,4880,0,3
398,R,0,0,S,2,0,E,SHEET,1.599,1320.0,4880,0,3
399,R,0,0,S,2,0,E,SHEET,2.0,610.0,612,0,2
400,R,6,0,,,0,E,SHEET,0.6,610.0,762,0,3
401,A,0,0,S,2,0,F,SHEET,0.6,609.9,762,0,3
402,M,0,0,,,350,G,COIL,0.9,610.0,0,0,3
403,R,0,0,S,2,0,E,SHEET,1.599,610.0,4880,0,2
404,A,0,50,,,0,E,COIL,0.4,1320.0,0,0,3
405,R,0,0,S,2,0,E,SHEET,1.2,335.0,612,0,2
407,M,0,0,,,600,G,SHEET,0.9,1050.0,1220,0,2
408,A,0,0,S,3,0,E,COIL,1.201,75.0,0,0,3
409,M,0,0,,,600,G,COIL,1.3,1090.0,0,0,2
410,A,0,0,S,2,0,E,COIL,0.7,20.0,0,0,3
