steel,carbon,hardness,condition,formability,strength,surface_quality,shape,thick,width,len,bore,target
R,0,0,S,3,0,E,SHEET,0.8,610.0,762,0,2
A,0,0,S,3,0,F,SHEET,1.6,610.0,761,0,5
A,0,0,S,3,0,E,COIL,0.6,610.0,0,0,5
R,0,0,S,2,0,E,SHEET,1.599,610.0,4880,0,2
R,0,0,S,2,0,E,SHEET,2.0,610.0,612,0,2
R,0,0,S,2,500,E,SHEET,1.0,610.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.999,610.0,762,0,3
A,0,0,S,2,0,F,SHEET,0.699,610.0,761,0,3
R,6,0,S,2,0,E,COIL,0.5,25.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.7,610.0,762,0,3
A,0,45,S,2,0,D,COIL,1.6,610.0,0,0,3
A,0,0,S,3,0,F,SHEET,0.5,1220.0,4880,0,5
R,0,0,S,2,0,E,SHEET,0.7,1300.0,4880,0,3
A,0,0,S,2,0,E,SHEET,0.7,609.9,762,0,3
A,0,0,S,2,0,G,COIL,0.7,1320.0,0,0,3
A,0,70,S,2,0,G,COIL,0.8,50.0,0,0,3
A,0,0,S,3,0,F,SHEET,0.6,1220.0,761,0,5
R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
R,0,0,S,2,500,E,SHEET,1.0,1100.0,762,0,3
M,0,0,S,2,600,G,COIL,1.6,1090.0,0,0,2
A,0,85,S,2,0,G,COIL,3.2,610.0,0,0,U
A,0,45,S,2,0,D,SHEET,0.599,520.0,4880,0,3
R,0,0,A,2,0,G,COIL,0.25,20.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
A,0,0,S,2,0,G,SHEET,0.7,1300.0,4880,0,3
A,0,45,S,2,0,D,COIL,0.699,1320.0,0,0,3
A,4,0,S,2,0,G,COIL,1.0,1130.0,0,0,3
A,0,50,S,2,0,G,COIL,0.451,1320.0,0,0,3
A,0,0,S,3,0,E,COIL,1.6,1220.0,0,0,5
W,0,0,S,2,310,G,COIL,1.599,1275.0,0,0,3
A,0,0,S,3,0,E,SHEET,1.6,610.0,4880,0,5
R,0,0,S,3,0,E,COIL,1.599,610.0,0,0,2
R,0,0,S,2,0,E,SHEET,2.0,610.0,4170,0,2
R,0,0,S,2,0,E,COIL,1.2,1220.0,0,0,3
K,45,0,S,2,0,G,COIL,1.09,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.599,1300.0,762,0,2
V,0,0,S,2,0,E,COIL,1.201,1525.0,0,0,2
K,55,0,S,2,0,E,COIL,1.1,900.0,0,0,3
R,0,0,S,3,0,E,SHEET,2.0,1525.0,612,0,2
A,0,0,S,2,0,E,COIL,3.5,610.0,0,600,3
A,0,50,S,2,0,G,COIL,0.6,610.0,0,0,3
A,0,0,S,3,0,E,COIL,1.6,610.0,0,0,5
W,0,0,S,2,310,G,SHEET,2.5,610.0,4880,0,3
A,0,60,S,2,0,G,COIL,0.6,50.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.699,1320.0,760,0,3
R,0,0,A,3,0,G,COIL,0.4,58.0,0,0,3
R,0,0,S,2,0,E,COIL,3.2,609.9,0,0,3
A,0,0,A,2,0,G,COIL,0.7,1320.0,0,0,3
A,0,50,S,2,0,E,COIL,1.6,1250.0,0,0,3
R,0,0,S,3,0,E,SHEET,1.601,830.0,881,0,2
M,0,0,S,2,350,G,COIL,0.9,1320.0,0,0,3
V,0,0,S,2,0,E,COIL,2.0,1525.0,0,0,2
A,0,0,S,2,0,F,SHEET,0.699,520.0,762,0,3
A,0,60,S,2,0,G,COIL,0.8,710.1,0,0,3
A,0,50,S,2,0,E,COIL,0.6,610.0,0,0,3
R,0,0,S,2,500,E,COIL,1.6,1320.0,0,0,3
R,0,0,S,3,0,E,SHEET,0.6,610.0,4880,0,3
A,0,0,S,2,0,E,SHEET,1.6,1320.0,1000,0,3
A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
A,0,45,S,2,0,D,COIL,0.699,1320.0,0,0,3
A,0,85,S,2,0,G,COIL,3.201,1000.0,0,600,U
A,0,0,S,3,0,F,SHEET,0.6,1220.0,4880,0,5
A,0,0,S,3,0,E,COIL,1.0,75.0,0,0,3
A,0,0,A,1,0,G,COIL,1.6,1220.0,0,0,5
A,0,0,S,2,0,E,COIL,3.2,609.9,0,0,3
R,0,0,S,2,0,E,COIL,0.7,1320.0,0,0,3
A,0,70,S,2,0,G,COIL,2.5,609.9,0,0,3
A,0,0,S,2,0,F,SHEET,0.699,609.9,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,610.0,1000,0,3
R,0,0,S,2,0,E,COIL,0.9,966.1,0,0,3
A,0,0,S,3,0,E,COIL,1.001,610.0,0,0,3
R,0,0,S,3,0,E,SHEET,0.601,375.0,612,0,3
A,0,0,S,3,0,E,COIL,0.8,50.0,0,0,5
K,45,0,S,2,0,G,COIL,0.6,610.0,0,0,3
A,0,0,S,2,0,E,COIL,3.2,1320.0,0,0,3
A,0,0,S,3,0,F,SHEET,0.6,610.0,4880,0,5
A,0,0,S,2,0,F,SHEET,0.999,1220.0,762,0,3
R,0,0,S,2,0,E,COIL,1.6,50.0,0,0,2
A,0,0,S,2,0,G,SHEET,1.2,335.0,4170,0,3
A,0,0,S,5,0,E,SHEET,1.2,1250.0,4880,0,3
W,0,0,S,2,310,G,COIL,2.5,1274.9,0,600,3
R,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
V,0,0,S,2,0,E,SHEET,0.8,1320.0,1,0,2
A,0,85,S,2,0,G,COIL,3.2,609.9,0,0,U
A,0,0,S,3,0,E,COIL,1.6,50.0,0,0,5
A,0,0,S,2,0,E,SHEET,0.699,610.0,4880,0,3
A,0,0,S,2,0,E,SHEET,1.599,1300.0,4880,0,3
A,0,0,S,2,0,E,SHEET,0.7,610.0,4880,0,3
A,0,0,S,3,0,E,COIL,0.6,1320.0,0,0,3
A,0,0,A,2,0,G,SHEET,0.301,610.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.6,1220.0,762,0,3
A,0,85,S,2,0,G,COIL,4.0,1000.0,0,600,U
K,65,0,S,2,0,E,COIL,1.5,640.0,0,0,3
A,0,0,S,3,0,E,SHEET,1.2,335.0,612,0,5
A,0,0,S,2,0,F,SHEET,0.6,520.0,4880,0,3
A,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
R,0,0,S,2,0,E,COIL,3.2,1320.0,0,0,3
A,0,0,S,2,0,G,COIL,0.4,20.0,0,0,3
A,0,0,S,2,0,E,SHEET,0.3,610.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.699,520.0,4880,0,3
A,0,45,S,2,0,D,SHEET,0.3,610.0,762,0,3
R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,610.0,762,0,3
A,0,50,S,2,0,E,COIL,0.6,1250.0,0,0,3
A,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
A,0,0,S,2,0,E,SHEET,0.3,1320.0,762,0,3
R,0,0,S,2,0,E,SHEET,0.699,610.0,762,0,3
R,0,0,S,2,0,E,COIL,0.901,966.1,0,0,3
R,0,0,S,2,0,E,SHEET,0.3,595.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.6,1220.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.699,609.9,4880,0,3
S,70,0,S,2,0,E,SHEET,2.0,1000.0,4880,0,3
A,0,0,S,3,0,E,SHEET,1.0,610.0,4880,0,3
A,0,0,S,1,0,G,COIL,3.2,60.0,0,0,3
K,55,0,S,2,0,G,COIL,1.0,900.0,0,0,3
A,0,45,S,2,0,D,COIL,0.7,1320.0,0,0,3
R,0,0,S,2,0,E,COIL,1.6,1320.0,0,0,3
A,0,45,S,2,0,D,SHEET,1.6,610.0,762,0,3
K,55,0,S,2,0,E,COIL,2.3,900.0,0,500,3
R,0,0,S,2,0,E,SHEET,0.8,1300.0,762,0,2
A,0,0,A,2,0,G,SHEET,0.301,1320.0,4880,0,3
A,0,50,S,2,0,G,COIL,0.601,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,1320.0,762,0,3
M,0,0,S,2,600,G,COIL,1.3,1090.0,0,0,2
A,0,0,S,2,0,F,SHEET,0.699,520.0,4880,0,3
M,0,0,S,2,600,G,SHEET,0.9,610.0,1220,0,2
R,0,0,S,2,0,E,SHEET,3.2,1300.0,762,0,3
M,0,0,S,2,350,G,COIL,1.399,609.9,0,0,3
R,0,0,S,3,0,E,SHEET,1.599,610.0,761,0,2
A,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
R,0,0,S,2,0,E,COIL,0.7,1220.0,0,0,3
R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.599,610.0,761,0,3
A,0,0,S,2,0,F,SHEET,0.699,610.0,400,0,3
A,0,45,S,2,0,D,SHEET,1.6,1320.0,612,0,3
A,0,0,A,1,0,G,SHEET,0.5,609.9,612,0,5
A,0,45,S,2,0,D,COIL,0.301,1320.0,0,0,3
K,65,0,S,2,0,E,COIL,3.2,640.0,0,500,3
A,0,0,S,3,0,F,SHEET,0.6,610.0,762,0,3
A,0,0,S,3,0,E,COIL,0.6,249.9,0,0,5
R,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,1300.0,762,0,3
A,0,0,S,2,0,E,SHEET,1.599,1320.0,762,0,3
A,0,0,S,2,0,E,COIL,0.8,609.9,0,0,3
A,0,60,S,2,0,G,COIL,1.9,1135.0,0,600,3
V,0,0,S,2,0,G,COIL,0.699,609.9,0,0,3
A,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
R,0,0,S,3,0,E,SHEET,0.8,1320.0,762,0,2
R,0,0,S,2,0,E,COIL,0.901,966.0,0,0,3
A,0,0,S,2,0,G,SHEET,0.7,610.0,762,0,3
A,0,0,S,5,0,E,COIL,0.8,75.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
A,0,50,S,2,0,E,SHEET,0.601,1250.0,762,0,3
A,0,60,S,2,0,G,COIL,0.799,609.0,0,0,3
R,6,0,S,2,0,E,SHEET,1.0,610.0,4880,0,3
A,0,50,S,2,0,E,COIL,0.6,20.0,0,0,3
K,45,0,S,2,0,G,COIL,0.6,900.0,0,0,3
R,6,0,S,2,0,E,SHEET,1.0,610.0,762,0,3
A,0,0,A,1,0,G,COIL,0.5,250.0,0,0,5
A,0,0,S,3,0,E,COIL,0.6,50.0,0,0,5
W,0,0,S,2,310,G,SHEET,2.5,1274.9,762,0,3
A,0,60,S,2,0,G,SHEET,0.801,255.1,270,0,3
R,0,0,S,2,0,E,SHEET,1.6,1500.0,4170,0,2
R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
A,0,0,S,3,0,E,COIL,0.6,20.0,0,0,3
A,0,0,S,2,0,G,COIL,0.7,1320.0,0,0,3
A,0,0,A,1,0,G,COIL,1.6,610.0,0,0,5
A,0,0,S,2,0,F,SHEET,0.7,1220.0,4880,0,3
A,0,85,S,2,0,G,SHEET,0.3,1220.0,762,0,U
A,0,0,S,2,0,G,COIL,3.2,610.0,0,0,3
A,0,0,S,3,0,E,SHEET,0.601,610.0,762,0,3
R,0,0,S,2,0,E,COIL,0.321,610.0,0,0,3
A,0,0,S,3,0,E,COIL,0.601,1220.0,0,0,3
R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,3.2,150.0,4880,0,3
A,0,0,S,2,0,F,SHEET,0.7,1220.0,762,0,3
A,0,0,A,1,0,G,COIL,0.6,250.0,0,0,5
A,0,85,S,2,0,G,COIL,3.2,1220.0,0,0,U
R,0,0,S,2,0,E,SHEET,0.8,1320.0,762,0,2
A,0,0,S,3,0,F,SHEET,1.2,610.0,4170,0,3
A,0,0,S,2,0,F,SHEET,0.699,1320.0,761,0,3
R,0,0,S,3,0,G,SHEET,0.8,1320.0,4880,0,2
R,0,0,S,2,0,E,SHEET,3.2,150.0,762,0,3
M,0,0,S,2,600,G,SHEET,1.299,1050.0,1220,0,2
R,0,0,S,2,0,E,SHEET,3.2,1300.0,4880,0,3
R,0,0,S,3,0,E,SHEET,0.6,375.0,4880,0,3
A,0,0,S,2,0,G,SHEET,0.7,610.0,762,0,3
R,6,0,S,2,0,E,COIL,1.2,1220.0,0,0,3
R,6,0,S,2,0,E,SHEET,1.0,1320.0,762,0,3
A,0,70,S,2,0,G,COIL,2.5,610.0,0,600,3
R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
R,0,0,S,3,0,E,SHEET,0.6,520.0,762,0,3
A,0,70,S,2,0,G,COIL,0.8,50.0,0,0,3
A,0,0,S,2,0,E,SHEET,0.3,1320.0,4880,0,3
A,0,0,S,2,0,G,COIL,0.7,610.0,0,0,3
A,0,0,S,2,500,G,SHEET,2.0,610.0,762,0,2
A,0,0,A,1,0,G,SHEET,0.5,609.9,3000,0,5
A,0,0,S,1,0,G,COIL,0.7,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.0,610.0,4880,0,3
R,0,0,S,2,0,E,COIL,1.601,1320.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.301,610.0,762,0,3
R,0,0,S,2,0,E,SHEET,1.2,609.9,612,0,2
R,0,0,S,2,0,E,SHEET,0.8,1500.0,4170,0,2
A,0,45,S,2,0,D,SHEET,0.7,1300.0,762,0,3
R,0,0,S,2,0,E,COIL,1.201,50.0,0,0,3
A,0,0,S,3,0,F,SHEET,0.75,610.0,4880,0,3
R,0,0,S,2,0,E,SHEET,0.7,374.9,762,0,3
R,0,0,S,2,500,E,COIL,1.6,609.9,0,0,3
R,0,0,S,2,0,E,SHEET,0.8,610.0,4880,0,2
K,65,0,S,2,0,G,COIL,1.09,900.0,0,0,3
R,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.7,150.0,762,0,3
K,55,0,S,2,0,E,COIL,2.2,900.0,0,0,3
V,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
A,4,0,S,2,0,G,COIL,1.0,25.0,0,0,3
R,0,0,S,2,0,E,COIL,0.699,610.0,0,0,3
A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.599,1320.0,4880,0,2
V,0,0,S,2,0,E,SHEET,0.7,1320.0,762,0,3
R,0,0,S,2,0,E,SHEET,3.2,1320.0,4880,0,3
R,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
A,0,50,S,2,0,G,COIL,0.601,610.0,0,0,3
A,0,0,S,3,0,F,SHEET,0.6,610.0,761,0,5
R,0,0,S,2,0,E,COIL,3.2,610.0,0,0,3
K,65,0,S,2,0,E,COIL,2.3,900.0,0,600,3
A,0,0,S,2,0,F,SHEET,0.6,300.1,4880,0,3
A,0,0,S,2,0,F,SHEET,0.699,300.1,4880,0,3
R,0,0,S,2,0,E,COIL,4.0,610.0,0,600,3
R,0,0,S,2,0,E,SHEET,1.599,610.0,762,0,3
A,0,85,S,2,0,E,SHEET,0.4,1220.0,762,0,U
M,0,0,S,2,350,G,COIL,1.601,609.9,0,0,3
A,0,45,S,2,0,D,SHEET,0.4,1220.0,300,0,3
R,0,0,S,3,0,E,COIL,1.6,1220.0,0,0,3
R,0,0,S,2,0,E,SHEET,0.7,1300.0,762,0,3
A,0,85,S,2,0,G,SHEET,0.3,1220.0,4880,0,U
A,0,0,S,3,0,F,SHEET,1.6,1220.0,761,0,5
A,0,0,S,2,0,G,COIL,0.4,610.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.3,610.0,762,0,3
R,6,0,S,2,0,E,COIL,1.0,610.0,0,0,3
A,0,0,S,2,0,G,SHEET,0.7,610.0,4880,0,3
A,0,0,S,3,0,E,COIL,2.5,1320.0,0,0,3
A,0,50,S,2,0,E,SHEET,1.6,1250.0,4880,0,3
A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
A,0,50,S,2,0,G,COIL,0.601,1320.0,0,0,3
A,0,0,S,2,0,E,SHEET,0.7,1320.1,762,0,3
R,0,0,S,2,0,E,COIL,3.201,385.1,0,0,3
R,0,0,S,2,0,E,SHEET,1.6,500.0,4880,0,3
A,0,0,A,2,0,G,SHEET,0.7,1320.0,4880,0,3
A,0,0,S,2,0,G,COIL,4.0,500.0,0,0,3
A,0,0,S,2,0,G,COIL,0.4,609.9,0,0,3
R,0,0,S,3,0,E,SHEET,1.6,610.0,4170,0,2
A,0,0,A,1,0,G,SHEET,1.6,610.0,762,0,5
A,0,45,S,2,0,D,SHEET,1.6,1300.0,4880,0,3
R,0,0,S,2,0,E,COIL,3.2,50.0,0,0,3
A,0,80,S,2,0,G,COIL,0.5,29.0,0,0,3
A,0,0,S,1,0,G,SHEET,0.3,595.0,762,0,3
A,0,85,S,2,0,E,SHEET,1.2,1200.0,611,0,U
A,0,60,S,2,0,G,COIL,2.801,355.0,0,0,3
A,0,85,S,2,0,G,COIL,4.0,610.0,0,500,U
A,0,0,S,2,0,F,SHEET,0.699,609.9,0,0,3
K,65,0,S,2,0,E,COIL,1.5,900.0,0,0,3
R,0,0,S,2,0,E,COIL,4.0,1000.0,0,600,3
A,0,0,S,2,0,E,COIL,0.7,610.0,0,0,3
A,0,85,S,2,0,G,COIL,3.201,610.0,0,600,U
A,0,0,S,3,0,F,SHEET,1.0,1320.0,762,0,3
R,0,0,S,2,0,E,COIL,0.4,1320.0,0,0,3
A,0,0,S,3,0,F,SHEET,1.6,610.0,762,0,5
A,0,0,S,3,0,E,COIL,0.7,610.0,0,0,3
A,0,85,S,2,0,E,SHEET,0.4,1220.0,0,0,U
K,65,0,S,2,0,E,COIL,3.2,900.0,0,500,3
A,0,0,A,1,0,G,SHEET,0.5,609.9,612,0,5
R,0,0,S,2,0,E,SHEET,1.599,1500.0,612,0,2
R,0,0,S,2,0,E,SHEET,0.8,1320.0,4880,0,2
A,0,0,S,3,0,G,COIL,2.5,1320.0,0,0,3
A,0,0,S,3,0,E,COIL,0.8,900.1,0,0,3
R,0,0,S,2,0,E,COIL,4.0,385.1,0,0,3
A,0,0,S,1,0,G,SHEET,0.699,1300.0,762,0,3
A,0,0,S,2,0,F,SHEET,0.6,610.0,4880,0,3
A,0,0,S,3,0,E,SHEET,0.7,375.0,612,0,3
A,0,0,S,1,0,G,SHEET,0.4,610.0,762,0,3
A,0,0,S,2,0,E,COIL,0.3,1320.0,0,0,3
R,0,0,S,2,0,E,COIL,3.2,610.0,0,0,3
A,0,85,S,2,0,G,COIL,1.201,1220.0,0,0,U
A,0,45,S,2,0,D,SHEET,0.7,1320.0,762,0,3
R,0,0,S,2,0,E,COIL,0.8,610.0,0,0,2
A,0,45,S,2,0,D,COIL,0.699,610.0,0,0,3
M,0,0,S,2,350,G,COIL,1.6,609.9,0,0,3
K,65,0,S,2,0,G,COIL,1.09,610.0,0,0,3
A,0,45,S,2,0,D,SHEET,0.3,610.0,4880,0,3
A,0,0,S,3,0,E,SHEET,1.2,609.9,612,0,3
K,65,0,S,2,0,G,COIL,0.6,900.0,0,0,3
R,0,0,S,2,0,E,SHEET,2.0,1500.0,612,0,2
V,0,0,S,2,0,E,COIL,0.8,20.0,0,0,2
K,45,0,S,2,0,G,COIL,0.6,900.0,0,0,3
A,0,0,S,2,0,F,SHEET,0.999,1220.0,4880,0,3
R,0,0,S,2,0,E,SHEET,1.599,1320.0,4880,0,3
R,0,0,S,2,0,E,SHEET,2.0,610.0,612,0,2
R,6,0,S,2,0,E,SHEET,0.6,610.0,762,0,3
A,0,0,S,2,0,F,SHEET,0.6,609.9,762,0,3
M,0,0,S,2,350,G,COIL,0.9,610.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.599,610.0,4880,0,2
A,0,50,S,2,0,E,COIL,0.4,1320.0,0,0,3
R,0,0,S,2,0,E,SHEET,1.2,335.0,612,0,2
M,0,0,S,2,600,G,SHEET,0.9,1050.0,1220,0,2
A,0,0,S,3,0,E,COIL,1.201,75.0,0,0,3
M,0,0,S,2,600,G,COIL,1.3,1090.0,0,0,2
A,0,0,S,2,0,E,COIL,0.7,20.0,0,0,3
A,0,0,S,2,500,G,SHEET,2.0,609.9,301,0,2
A,0,85,S,2,0,G,COIL,1.201,610.0,0,0,U
A,0,0,A,1,0,G,COIL,0.799,249.9,0,0,5
A,0,0,S,2,0,E,SHEET,0.3,610.0,762,0,3
A,0,45,S,2,0,D,SHEET,0.599,1320.0,761,0,3
W,0,0,S,2,310,G,SHEET,1.6,610.0,762,0,3
A,0,0,S,2,0,E,COIL,0.699,1320.0,0,0,3
K,55,0,S,2,0,G,COIL,1.09,610.0,0,0,3
K,65,0,S,2,0,G,COIL,0.8,900.0,0,0,3
A,0,0,S,2,500,G,COIL,1.6,1320.0,0,0,3
V,0,0,S,2,0,E,SHEET,1.599,1320.0,762,0,2
A,0,0,S,2,0,E,SHEET,3.2,1320.0,4880,0,3
A,0,0,A,2,0,G,COIL,0.301,20.0,0,0,3
A,0,0,S,3,0,E,SHEET,0.7,335.0,612,0,3
A,0,0,S,2,0,E,SHEET,0.699,1320.0,762,0,3
A,0,45,S,2,0,D,SHEET,0.699,1220.0,761,0,3
K,55,0,S,2,0,G,COIL,1.09,900.0,0,0,3
